Purchase_date,Customer_ID,Title,Item_Price,Total_Amount,Quantity,Category,Book_Age,Author,google_rating,google_ratings_count,google_page_count,google_categories,google_description
2019-07-08T15:23:06+00:00,B07FWVVUW,Mathematics Textbook for Class 8- 852,180.0,247.0,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-08T16:59:42+00:00,B07FWVWYR,Indian Society Textbook in Sociology for Class - 12  - 12111,145.0,212.0,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-09T01:57:12+00:00,B07FWVXRU,Words And Expressions 1 For Class 9- 976,184.0,251.0,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-09T01:57:12+00:00,B07FWVXRU,Words And Expressions 1 For Class 9- 976,184.0,251.0,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-09T01:57:12+00:00,B07FWVXRU,Words And Expressions 1 For Class 9- 976,184.0,251.0,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-09T01:57:12+00:00,B07FWVXRU,Words And Expressions 1 For Class 9- 976,184.0,251.0,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-09T02:10:11+00:00,B07FWXUTQ,Ruchira Bhag - 2 Sanskrit Textbook for Class - 7  - 755,85.78,152.78,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-09T02:10:11+00:00,B07FWXUTQ,Ruchira Bhag - 2 Sanskrit Textbook for Class - 7  - 755,85.78,152.78,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-09T02:10:11+00:00,B07FWXUTQ,Ruchira Bhag - 2 Sanskrit Textbook for Class - 7  - 755,85.78,152.78,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-09T03:13:49+00:00,B07FWXXYZ,Ruchira Bhag - 2 Sanskrit Textbook for Class - 7  - 755,85.78,152.78,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-09T03:13:49+00:00,B07FWXXYZ,Ruchira Bhag - 2 Sanskrit Textbook for Class - 7  - 755,85.78,152.78,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-09T03:13:49+00:00,B07FWXXYZ,Ruchira Bhag - 2 Sanskrit Textbook for Class - 7  - 755,85.78,152.78,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-09T14:30:56+00:00,B07FWVYUV,science class 10 ncert text book,198.0,265.0,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-09T16:15:55+00:00,B07FWVVYQ,Ruchira Bhag - 2 Sanskrit Textbook for Class - 7  - 755,85.78,152.78,1,school,5,Unknown Author,0.0,0,0,Unknown,
